,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
1,0.70%,1.80%,1.80%,3.00%,1.80%,0.30%,0.30%,2.00%,2.60%,3.60%,4.00%,3.40%,3.00%,2.20%,2.70%,1.90%,1.60%,1.50%,1.40%,1.50%,1.00%,0.70%,1.60%,1.60%,2.10%,2.70%,2.50%
2,0.50%,1.70%,1.80%,2.70%,2.30%,0.30%,0.00%,1.70%,2.80%,3.40%,4.30%,3.00%,3.10%,2.50%,2.80%,2.10%,1.60%,1.30%,1.60%,1.50%,0.70%,1.00%,1.40%,1.60%,1.90%,2.70%,2.50%
3,0.70%,1.50%,1.90%,2.40%,2.30%,0.50%,0.00%,1.60%,2.80%,3.50%,3.90%,3.40%,2.90%,2.50%,3.20%,1.80%,1.80%,1.10%,1.60%,1.50%,1.00%,0.60%,1.70%,1.70%,1.60%,2.70%,2.60%
4,1.50%,0.80%,2.10%,2.40%,2.70%,0.30%,-0.20%,1.80%,2.40%,3.00%,4.50%,3.70%,2.40%,2.90%,2.80%,2.10%,1.80%,1.20%,1.50%,1.40%,1.10%,0.60%,1.50%,1.90%,1.60%,2.50%,2.30%
5,2.10%,0.60%,2.00%,2.40%,2.90%,0.30%,0.10%,1.50%,2.70%,2.70%,4.50%,3.50%,2.10%,3.40%,2.40%,2.30%,2.00%,1.50%,1.20%,0.80%,1.60%,0.60%,1.40%,2.00%,1.60%,2.20%,2.60%
6,2.50%,0.60%,2.00%,2.40%,2.70%,0.40%,0.00%,1.90%,2.90%,2.40%,4.20%,3.20%,1.80%,3.90%,2.40%,2.60%,2.00%,1.60%,1.10%,0.70%,1.60%,0.80%,1.40%,1.60%,1.70%,2.40%,2.60%
7,2.00%,1.10%,2.00%,2.50%,2.60%,0.60%,0.10%,1.60%,2.80%,2.50%,4.50%,3.00%,1.90%,4.40%,1.90%,2.30%,2.40%,1.50%,1.20%,1.10%,1.50%,0.80%,1.30%,1.60%,1.90%,2.40%,2.60%
8,3.20%,0.20%,1.80%,2.60%,2.90%,0.60%,0.10%,1.50%,2.70%,2.50%,4.50%,3.20%,1.50%,4.80%,1.70%,2.60%,2.30%,1.30%,1.30%,0.90%,1.90%,0.60%,1.30%,1.30%,2.00%,2.20%,2.60%
9,3.00%,0.60%,1.80%,2.40%,2.90%,1.00%,-0.10%,1.20%,2.70%,2.20%,5.10%,3.10%,1.20%,5.10%,1.70%,2.40%,2.50%,1.10%,1.50%,0.90%,1.40%,1.00%,1.30%,1.30%,1.90%,2.40%,2.90%
10,4.10%,0.70%,1.50%,2.40%,3.00%,0.90%,-0.10%,1.30%,2.20%,2.60%,5.00%,3.20%,1.50%,4.40%,2.10%,2.40%,2.30%,1.20%,1.50%,1.40%,1.10%,1.10%,1.10%,1.30%,1.90%,2.50%,3.00%
11,5.10%,0.40%,1.40%,2.30%,3.10%,1.20%,0.20%,0.90%,2.10%,2.70%,4.80%,3.20%,2.00%,4.00%,2.10%,2.70%,2.20%,1.40%,1.30%,1.50%,0.80%,1.10%,1.10%,1.40%,1.90%,2.50%,2.90%
12,5.40%,0.60%,1.30%,2.10%,2.90%,1.60%,0.20%,0.50%,2.00%,2.60%,4.30%,3.60%,2.90%,3.00%,2.10%,3.00%,1.90%,1.60%,1.30%,1.60%,1.10%,0.80%,1.10%,1.60%,1.70%,2.20%,3.00%
